Fid, ludb_impl_delay, sfa_fifo_delay
2647, 7.566704332826881, 8.100182271984826
2450, 6.954066555843983, 8.949219786113646
103, 5.1207481516470255, 5.572524372874889
1556, 6.684965928057313, 10.51979831700369
290, 7.600717013521685, 8.471184660441562
1724, 2.349040178571429, 2.7563478708791216
387, 5.894095312666067, 6.323591509304664
1315, 6.797961849213143, 7.4204137103232455
2830, 3.0058899360902256, 3.3940730789473683
1525, 6.3841009251547005, 7.159707831387284
1058, 5.411698075906823, 9.43349615675101
2659, 3.3407409638078938, 3.685656563073189
1974, 4.6788551742073325, 5.028288374054394
2520, 6.314708475981438, 6.853517732399905
318, 3.2647182630016127, 3.6643389438641174
1762, 4.686054033610441, 5.0840296481685945
859, 6.0999828624275105, 7.150258163819494
1183, 10.948485500459546, 17.122976276892086
1606, 7.773889208315749, 9.690584107269455
2366, 3.165104390208387, 3.4200024860799805
986, 8.280927831293237, 9.143989430978474
621, 3.648289526196226, 4.050236143460643
2812, 4.716713729762968, 5.152103586933218
1996, 3.5849625701938796, 3.8465201854058484
2346, 7.613561953894569, 13.502337210498197
2513, 3.386041609799658, 3.7648664500467044
2958, 3.6584130980669696, 3.8489728987096394
1504, 7.2467645528276465, 8.412519281920765
2678, 4.669200547243113, 6.845223612459177
1433, 6.314708475981438, 6.853517732399905
2347, 7.508636705584133, 11.539265176279711
1690, 5.05437023373977, 5.538318009741099
1896, 5.953086498200124, 6.451775287934491
95, 4.899780557487228, 5.3036899542970195
2291, 6.896238122061857, 8.071538479440356
1128, 4.517086878325977, 4.914769870709901
2130, 6.7683336805868555, 11.519621761638458
2792, 5.9464103465279905, 6.50502339663458
237, 4.392554716499485, 4.829838951959066
2264, 3.9127578067215945, 4.11011793249331
2222, 2.1037500000000002, 2.4475
1546, 5.9238439471939435, 6.473475245859653
2559, 8.059010640956652, 8.857009101641749
2491, 5.655350056724743, 6.3387558229487695
281, 5.6071481809133195, 7.126240519011933
2547, 6.917404556250507, 7.776144584158992
888, 5.944857782699318, 6.680549493160161
1640, 5.803254816301767, 7.584199040096545
2508, 5.068666759802018, 5.2319641582032315
589, 5.880105285397534, 10.351787295146645
2276, 6.3191737989780785, 6.872625257156043
648, 4.390718888179877, 4.817828922668026
1079, 6.092548161108122, 10.400633956713925
1218, 5.471058636972228, 6.1083404703750395
2473, 5.655350056724743, 6.3387558229487695
920, 3.386041609799658, 3.7648664500467044
646, 5.602203948008392, 7.154040216424621
1300, 5.2802159548437, 5.651788644546463
2726, 9.461155644078305, 10.791367519188919
2337, 5.0179699239123705, 5.577029026026087
2370, 5.354548834872651, 5.81550364315565
1477, 1.9514280701754385, 2.5145070350877194
2488, 5.805073666371114, 6.188793288998017
1740, 3.333739071223603, 3.4865679572967276
1616, 6.5892421165343045, 10.83221097561688
1854, 4.454061859486169, 5.236641762285728
549, 5.724588165191847, 7.114024478789955
1575, 4.458232188095871, 5.101232989925249
1220, 6.556725019075584, 10.729862233005164
1426, 2.750125189819565, 3.3031683237332423
49, 6.528010616217225, 8.21977467249741
1020, 5.9801338462691085, 7.755057366582598
1824, 4.608798734454072, 6.057120240871208
1560, 4.884571958809209, 6.243175402956119
2675, 2.0561382706034483, 2.44400625
1472, 5.831653231113165, 6.808754070655267
1406, 5.328009047401187, 5.788637492127703
2768, 4.7012949698217295, 5.055559779417881
2889, 3.3622357436213752, 3.697863569748212
2597, 5.465546424871881, 6.101619330716421
1725, 11.4131608926728, 15.280826826631625
2400, 6.626486299509222, 8.202919026882716
2872, 4.4046978082957065, 4.798021265710435
2404, 6.427247143650186, 6.919132997330534
546, 4.764364792677318, 6.807066401171327
249, 9.278003056619841, 10.3389346815207
1886, 6.4577807931504445, 7.406418947419666
1943, 0.9, 1.1740601503759398
1693, 7.197870132115919, 11.414685235098544
1449, 7.497515790583582, 7.9049445587388725
2371, 4.334187284861725, 8.369176130239778
246, 5.417496959027951, 5.856390113901668
445, 2.7461560238648404, 2.857843425299671
526, 5.099810476521521, 5.505204339282326
1037, 4.5973367769556885, 5.1187082150453405
2414, 7.432031651739627, 8.195074138342227
145, 8.405631833652707, 9.470217060806801
159, 5.565399592044322, 7.537257137089188
1074, 5.054435196383187, 5.429863709147041
2168, 7.251414063525136, 8.391091779044341
2374, 3.687566837765886, 3.992807389160145
2880, 5.327620483491412, 5.749505329484251
2227, 7.644892469742993, 8.286922739754125
973, 7.247836764374328, 10.167715124745682
436, 6.367165429762452, 7.858579851448133
2110, 4.059795271763065, 4.39150520600232
1403, 4.608798734454072, 6.057120240871208
617, 5.015126505740323, 5.580498751695243
2343, 5.604469561342165, 6.3442929015964475
2163, 8.148551266622805, 12.959313993404113
455, 0.945, 1.298571428571429
2568, 5.611462198419005, 6.179990136445917
2321, 6.468154231218545, 9.307058652108937
2094, 5.9297847469570835, 7.06674766148766
1859, 6.381024635181059, 7.289058735340382
1544, 5.427678821909878, 5.781063245447716
2699, 5.16921113380371, 6.343681140525244
150, 5.532438428056686, 5.869649247642891
1214, 4.689447997671892, 5.31193952727923
20, 6.579076303557967, 11.267771877566801
342, 4.982403789667172, 9.00495464212156
2086, 3.7243936697978555, 4.079580588329199
1211, 4.680217464846228, 5.098983478711798
2838, 6.316885915306744, 6.771636434638198
2677, 5.88793701758085, 9.94595809876613
2954, 5.19133206142104, 6.077240850274265
735, 5.675037775485567, 6.670270172777035
1310, 6.282440888383045, 6.9673937090954015
1050, 0.9, 1.064423076923077
2077, 6.9395887909050185, 7.443682413374436
62, 6.226942885258029, 6.898997216181299
1574, 9.502966879857087, 10.418627443291111
2895, 5.710124369257036, 6.4808072782979655
1009, 3.8770826530159335, 4.107426245135285
623, 5.549683175516599, 6.4909882071598926
1775, 5.090085356328835, 5.564189218670644
1689, 6.12787723304914, 9.091200276520999
1092, 6.1162125641141385, 7.514968329493705
1713, 6.500022593331596, 9.469738579137402
179, 5.052448247865057, 5.47693839671213
315, 2.025, 3.5534999999999997
118, 5.405869325645108, 5.744291247199145
1232, 5.390362272725587, 5.77181735121851
1057, 4.553237969813863, 6.290682965770261
2664, 5.291390332612211, 5.800601965811913
824, 5.828247514814105, 7.7180242273443875
2203, 6.798162519875968, 7.523328203644082
796, 5.435394902767873, 6.001130323791387
946, 7.718235617366586, 9.134478072548891
1216, 3.8049359781915197, 4.213850236417557
1759, 9.736688072883819, 15.050039545385893
1346, 7.182475782566585, 11.776043828379352
40, 4.6695269032331925, 5.126279922751426
295, 7.5223927317743735, 8.719800649026011
2263, 5.685172531294353, 7.435325863481073
767, 7.777479358764223, 9.824858556434636
1531, 6.072314234158675, 7.067349673375784
748, 6.810440805776708, 7.577838261196824
1347, 3.165104390208387, 3.4200024860799805
2129, 5.468907221626558, 5.895959178547051
1851, 4.667756298006751, 5.1945860490347195
2436, 9.585881367725683, 10.814637448155588
624, 5.574806018282643, 6.041768685218718
809, 7.176650825330159, 8.080677012486934
1322, 4.506939749387002, 4.9864268368427895
1461, 3.226812876542809, 3.3482056111779626
2553, 5.80666986866326, 6.859010896757021
2510, 7.165467031481986, 13.293034151197356
1633, 7.260947094948602, 13.127216523700888
945, 7.056360561051085, 7.7807878570259295
1072, 5.237220735132689, 5.962992049201738
142, 4.824164805536255, 5.565893071174283
1241, 5.456227157583085, 7.612487140542088
1011, 4.449108243951715, 4.893189205321611
2514, 4.991986667185912, 5.56253282039213
703, 5.938011442427511, 8.223491087704984
1995, 5.234238007884206, 5.791772809994426
530, 6.058182701410756, 7.098526492193165
2914, 4.832470724577081, 5.594383927462662
473, 5.6282894826078875, 5.941792726965663
1866, 5.674355585689202, 6.381481270965642
1684, 5.19133206142104, 6.077240850274265
1104, 3.386041609799658, 3.7648664500467044
1769, 4.906535028399853, 6.238588203553855
2142, 8.777244928690537, 9.597104142871238
1230, 4.253067595444416, 4.894331196528601
1242, 5.8946692693134155, 10.241233574877688
2944, 5.7850436564919905, 6.858548593012645
944, 4.257001782227157, 4.970902556469748
2282, 5.068364739394894, 5.777748634432919
52, 6.50507716562438, 7.058444373667068
10, 5.692017008262122, 6.189684916000067
42, 4.447137075521459, 4.801709674201768
1116, 6.391303833644276, 8.780653518242586
276, 4.525495273120456, 4.921861404948878
2580, 5.563073972033018, 7.826045879037451
1386, 5.182503268330122, 6.421861981902042
1750, 5.507086506326161, 6.181324316436228
774, 4.468776043691883, 4.893784817836226
2317, 2.6013236140549942, 3.035094396576174
1503, 6.917696805321167, 7.558026215077503
1143, 6.590429803515414, 8.879621783069556
2602, 4.859792656558444, 5.232552913565538
2925, 6.226942885258029, 6.898997216181299
497, 5.703201456604409, 7.061121363367136
1593, 5.599308809241136, 6.058341602074335
1642, 8.056414933255125, 11.07929763707309
193, 5.552639118238779, 7.645795270949078
1654, 5.077550651270979, 5.61147211993297
2295, 9.098312920106384, 12.782054741513809
2286, 9.918230343887531, 15.812246381325624
782, 9.730511780319166, 11.207918679175819
1884, 4.883943587515919, 5.319953865340662
1649, 5.221163361517165, 5.635578460920261
2018, 4.495406066595267, 5.264575919412503
12, 5.385408056711445, 6.974381268485527
41, 5.581022461230884, 6.467397041746358
264, 2.9589545454545467, 3.3512982954545456
600, 5.674355585689202, 6.381481270965642
2393, 3.6094958751571857, 4.157633168714646
2251, 6.232869338524531, 8.050511820747337
776, 2.9091353084415585, 3.331443000749251
2319, 5.033717101064984, 5.576165146712127
2929, 3.165104390208387, 3.4200024860799805
1552, 1.0292625, 1.3870864285714284
1115, 7.574378584423689, 10.265740529844052
2054, 3.3792857998029406, 3.7945541617397662
2716, 4.522329886750525, 4.935150230598965
424, 5.052573093090655, 5.483244299653304
2192, 4.72943204229087, 5.216979696092374
456, 6.81991894225706, 7.6046319343786735
215, 4.694801178113654, 5.200483639847377
901, 7.120116823221152, 7.850400315585475
474, 5.659637955486782, 8.42833222081709
718, 4.483407836667972, 6.623466618025041
1385, 3.699556431040623, 6.24489088026359
1975, 5.646291029224464, 6.068878199332034
1479, 3.571589542253006, 3.676778571120199
858, 4.7580518937528735, 5.950997754276029
1034, 6.976840446798331, 7.8713257352530315
1473, 5.432990996329487, 5.942837049379695
2497, 8.005082263190666, 8.896708687075291
2310, 3.8809208697324937, 4.30009336048745
2124, 1.2734936079545456, 1.5772436079545467
1131, 5.879328732290705, 6.257989054518615
2903, 3.7639395261962254, 4.205736519400492
2789, 4.578178307681077, 6.384010696862703
1962, 6.175896590837658, 6.958076567437393
892, 7.182475782566585, 11.776043828379352
1178, 4.745885849762842, 5.372652080611797
223, 7.369866080162061, 9.254169200321385
980, 3.4387265512989913, 3.7619750336519555
2685, 5.208045957297274, 5.520734972802347
414, 5.359951363138575, 6.058110196984198
1515, 6.044880701666788, 6.710916409894276
2386, 7.290574835257299, 7.7746838364283
2842, 5.150908344131322, 5.656865185554144
1878, 3.4816402915702334, 3.8700186394707043
2585, 8.592745894565855, 9.411837239624901
1582, 4.7012949698217295, 5.055559779417881
