Fid, TFA_D, SFA_D, TMA_D, PMOO_D
370, 9032.263645653504, 902.6787033905082, 696.6422258924969, 698.8029401782111
466, 101225.25044511643, 13573.476136539486, 8734.229921439019, 9711.73478137644
189, 9169.251399618108, 2152.3077685178732, 1775.3686241710782, 1805.1676165789418
434, 3944.0750782307045, 713.5278181601374, 529.1848736657078, 564.4776578593203
192, 10376.536569891588, 710.4840708358345, 628.5771323189327, 633.7074729880701
20, 11464.612499822908, 1512.2166039212473, 976.8296460893655, 976.8296460893655
272, 20309.947165125468, 2067.2082962064687, 1125.160088870103, 1131.22792980844
291, 8209.229179816248, 1930.7967142538857, 1830.9111187171889, 1840.7010527155348
443, 98.99999999999997, 9.082568807339449, 9.082568807339449, 9.082568807339449
406, 9578.302782086408, 1100.6881436558406, 960.2983062948355, 1043.8719258570304
42, 6767.299938702913, 1047.1924169010533, 708.7204374199114, 735.1252746947165
22, 101589.31115623524, 13611.081761373365, 8733.863781442225, 9619.642028818702
237, 4511.929791851817, 897.7151940392844, 492.0299560778933, 492.02995607789336
456, 20332.884321828467, 2151.7524713252956, 1003.3825027681735, 1076.899415629643
264, 11464.612499822908, 1514.6033796068355, 984.1293419561413, 1005.0485087394565
106, 4400.406653109281, 662.4993255676367, 604.6000933100264, 613.0915358278403
361, 229514.1066283875, 17386.592669672198, 9427.880935316127, 10213.16057807308
259, 73843.7637101218, 10410.198003462907, 4895.914428662634, 5806.994022988566
290, 18789.119007663605, 5306.78995013752, 4652.030261416392, 4694.312794832212
126, 106.40186915887918, 7.466635514018695, 7.466635514018695, 7.920000000000001
302, 1910.8032615280915, 540.0174327304538, 327.86919654812624, 383.90626254359614
405, 1447.7425504092807, 474.7016764215286, 390.5620163131282, 390.5620163131283
293, 3950.626774881037, 1398.5575612157693, 1341.7953484525613, 1908.4568096032835
75, 3183.806709606013, 231.73044882894106, 130.55450107435013, 130.5545010743501
448, 21095.92837403843, 6580.003236748148, 4444.3676001429585, 5706.4798585444805
161, 14256.53132095291, 4533.307215485953, 4279.975282599852, 6067.170401369104
154, 4722.0083788944685, 772.1298819717247, 368.0466211452334, 374.22925952287403
221, 2903.941749329424, 305.3307595120217, 233.24192050886265, 233.24192050886268
298, 1910.803261528091, 535.8098953819858, 325.8871513187737, 367.60960732578343
445, 101225.25044511643, 13573.476136539486, 8734.229921439019, 9711.73478137644
98, 7071.393867016779, 2220.3104102879124, 2070.1654115147626, 2535.730501381407
191, 6069.1169156240885, 1028.8440778237339, 426.8056936543663, 432.1773813610908
401, 1546.7425504092807, 476.0456412260019, 390.84338129557847, 457.6823718337148
4, 24777.577937267073, 1703.689925572922, 1067.689418239897, 1067.689418239897
346, 2266.869914364464, 490.8414299381196, 467.7627424452252, 529.8933437542929
328, 768.809249745517, 299.54878371578354, 294.0370899255128, 472.990446554852
92, 70655.24683447368, 10403.656101258668, 4824.197717561016, 5606.442304560413
196, 60035.995016787856, 6490.3778396527705, 4951.678123386532, 5644.831215329926
245, 60210.53001631716, 9622.600837588558, 4222.303898401459, 4550.216296306411
357, 17054.849941080727, 1172.9349826974756, 1035.0386708173476, 1038.6158134324255
118, 960.0222198018587, 341.79379951282317, 328.38450505840837, 431.4278470156231
337, 21287.141344094773, 6556.761186738713, 4410.145953251533, 5289.622019313169
318, 16972.889213355997, 1179.9093850494903, 528.7262350928544, 528.7262350928544
78, 1910.803261528091, 535.8098953819858, 325.8871513187737, 367.60960732578343
6, 6289.305248417837, 524.108770701485, 490.5371256819173, 490.5371256819173
1, 16724.573828976132, 1197.379349223781, 1035.4262652361201, 1036.2421993020544
44, 16724.573828976132, 1207.4388594684183, 1035.9127119086068, 1035.9127119086065
214, 8544.717734803497, 2053.2675743964314, 1705.245668418573, 1862.164206120774
270, 854.5099274430556, 332.23353577100823, 326.72184198073757, 398.8455532644983
284, 17312.05138266976, 5068.157878876273, 4797.186921325383, 5744.027259985314
211, 6069.1169156240885, 1020.1729511136124, 426.92439605293583, 447.03374073682363
396, 16577.125368325425, 3520.7185535861286, 3322.413427615853, 3923.3569786925045
174, 58673.23789760852, 7991.934927090627, 3728.73572030757, 3744.3112398723483
65, 63720.67809729115, 9070.926625981634, 3821.1681651502936, 3840.9950552105115
446, 3017.745998487202, 248.86187385315773, 108.22955750673137, 108.22955750673137
50, 3609.148080973997, 528.9268739358423, 481.85165822004404, 481.85165822004404
158, 960.0222198018587, 341.79379951282317, 328.38450505840837, 431.4278470156231
184, 16444.128554394163, 3505.3519058934494, 3311.737410526754, 4081.275842929361
429, 3131.335158627795, 201.6917527886115, 142.93620697936106, 142.93620697936106
335, 75317.78059566105, 6981.891662384388, 5306.277909460056, 6094.892390803872
152, 854.5099274430556, 332.23353577100823, 326.72184198073757, 398.8455532644983
438, 6572.36466683077, 1574.5811032755144, 1404.5583325754299, 1889.5869971989598
412, 6266.980158859366, 541.4378116448676, 495.9568660699379, 534.8909224926608
149, 4118.395610976108, 413.02309271164506, 249.81195854645094, 249.81195854645094
436, 1985.3097177364994, 480.43646291768687, 467.0514064715471, 545.0350625398187
451, 4797.706746115941, 404.74353985740225, 209.5155523931295, 210.27904363033238
80, 16577.125368325425, 3521.176827776938, 3327.5623324102426, 4118.057641193018
320, 20326.411126372244, 6450.53840893796, 4316.4659939405165, 5910.274746612058
228, 9911.024700324593, 2518.0915195108873, 2332.839072281605, 2667.429104895788
229, 2654.34267778617, 151.6767244449247, 151.6767244449247, 151.6767244449247
142, 14157.53132095291, 4533.2025291233585, 4279.870596237258, 5254.614256876939
