Fid, TFA_D, SFA_D, PMOO_D, TMA_D
217, null, null,null,73.35721572136747
300, null, null,null,44.7540432273967
802, null, null,null,160.29261566099117
1404, null, null,null,65.05987062248559
987, null, null,null,46.92894806973149
1044, null, null,null,61.50203975812984
1341, null, null,null,81.48999343901858
249, null, null,null,59.50712164739053
1333, null, null,null,37.766871338604254
1402, null, null,null,48.621695513535386
60, null, null,null,67.66363002832894
1137, null, null,null,85.4590737484482
492, null, null,null,51.40669028045855
596, null, null,null,69.05906072132801
493, null, null,null,61.25211562809525
451, null, null,null,40.65078727287394
381, null, null,null,11.559870550161813
296, null, null,null,89.72598715825393
730, null, null,null,56.344404652969516
686, null, null,null,59.32648944917685
862, null, null,null,42.64955195355606
1447, null, null,null,94.61574702998419
22, null, null,null,65.09983447742678
1342, null, null,null,57.02367162273709
816, null, null,null,81.4830615074253
398, null, null,null,46.98577422737352
691, null, null,null,67.75355949646463
690, null, null,null,54.061388010134266
1318, null, null,null,47.72372763581431
9, null, null,null,38.77929037340842
222, null, null,null,48.52443973230094
1251, null, null,null,39.4768067132777
921, null, null,null,47.90109950202851
958, null, null,null,65.11299514277532
1008, null, null,null,18.905343912844167
694, null, null,null,49.433950428668766
692, null, null,null,47.774037631008625
1052, null, null,null,44.63951209122381
587, null, null,null,83.97880828334503
143, null, null,null,87.36214205488103
882, null, null,null,34.533469599369155
383, null, null,null,17.83473167736932
1349, null, null,null,39.88408691040609
960, null, null,null,77.96799611798788
55, null, null,null,63.01330656874674
963, null, null,null,48.18484465823029
1368, null, null,null,37.83261924018045
804, null, null,null,40.993269496599474
559, null, null,null,54.88164369134395
733, null, null,null,78.28699026168049
997, null, null,null,63.8517652278489
618, null, null,null,76.19796445031902
955, null, null,null,39.39651997492645
1323, null, null,null,86.95852586498054
1001, null, null,null,73.9540505202416
649, null, null,null,51.36051175287429
1113, null, null,null,31.971090090311478
21, null, null,null,41.102837968381706
1153, null, null,null,70.55381382906747
25, null, null,null,77.76017688137573
314, null, null,null,69.14587893021567
1351, null, null,null,62.45496586073539
1377, null, null,null,54.35918082952213
677, null, null,null,145.81035596466313
695, null, null,null,51.786086894255135
1167, null, null,null,78.17721108113368
1212, null, null,null,77.77469384654376
1361, null, null,null,53.04069584736275
237, null, null,null,64.1884910758807
